datetime,%,plugged
2021-04-10 13:18:03,65,1
2021-04-10 13:18:04,65,1
2021-04-10 13:18:05,65,1
2021-04-10 13:18:06,65,1
2021-04-10 13:18:07,65,1
2021-04-10 13:18:08,65,1
2021-04-10 13:18:09,65,1
2021-04-10 13:18:10,65,1
2021-04-10 13:18:11,65,1
2021-04-10 13:18:12,65,1
2021-04-10 13:18:13,65,1
2021-04-10 13:18:14,65,1
2021-04-10 13:18:15,65,1
2021-04-10 13:18:16,65,1
2021-04-10 13:18:17,65,1
2021-04-10 13:18:18,65,1
2021-04-10 13:18:19,65,1
2021-04-10 13:18:20,65,1
2021-04-10 13:18:21,65,1
2021-04-10 13:18:22,65,1
2021-04-10 13:18:23,65,1
2021-04-10 13:18:24,65,1
2021-04-10 13:18:25,65,1
2021-04-10 13:18:26,65,1
2021-04-10 13:18:27,66,1
2021-04-10 13:18:28,66,1
2021-04-10 13:18:29,66,1
2021-04-10 13:18:30,66,1
2021-04-10 13:18:31,66,1
2021-04-10 13:18:32,66,1
2021-04-10 13:18:33,66,1
2021-04-10 13:18:34,66,1
2021-04-10 13:18:35,66,1
2021-04-10 13:18:36,66,1
2021-04-10 13:18:37,66,1
2021-04-10 13:18:38,66,1
2021-04-10 13:18:39,66,1
2021-04-10 13:18:40,66,1
2021-04-10 13:18:41,66,1
2021-04-10 13:18:42,66,1
2021-04-10 13:18:43,66,1
2021-04-10 13:18:44,66,1
2021-04-10 13:18:45,66,1
2021-04-10 13:18:46,66,1
2021-04-10 13:18:47,66,1
2021-04-10 13:18:48,66,1
2021-04-10 13:18:49,66,1
2021-04-10 13:18:50,66,1
2021-04-10 13:18:51,66,1
2021-04-10 13:18:52,66,1
2021-04-10 13:18:53,66,1
