t,%,plugged
2021-04-10 13:12:36,60,1
2021-04-10 13:12:37,60,1
2021-04-10 13:12:38,60,1
2021-04-10 13:12:39,60,1
2021-04-10 13:12:40,60,1
2021-04-10 13:12:41,60,1
2021-04-10 13:12:42,61,1
2021-04-10 13:12:43,61,1
2021-04-10 13:12:44,61,1
2021-04-10 13:12:45,61,1
2021-04-10 13:12:46,61,1
2021-04-10 13:12:47,61,1
2021-04-10 13:12:48,61,1
2021-04-10 13:12:49,61,1
2021-04-10 13:12:50,61,1
2021-04-10 13:12:51,61,1
2021-04-10 13:12:52,61,1
2021-04-10 13:12:53,61,1
2021-04-10 13:12:54,61,1
2021-04-10 13:12:55,61,1
2021-04-10 13:12:56,61,1
2021-04-10 13:12:57,61,1
2021-04-10 13:12:58,61,1
2021-04-10 13:12:59,61,1
2021-04-10 13:13:00,61,1
2021-04-10 13:13:01,61,1
